preparation,math,reading,writing,gender
none,0.65,0.79,0.81,F
completed,0.52,0.49,0.46,M
none,0.87,0.73,0.72,M
none,0.53,0.62,0.53,F
none,0.81,0.86,0.87,F
completed,0.39,0.42,0.38,M
completed,0.71,0.71,0.8,F
none,0.97,0.93,0.91,M
completed,0.82,0.82,0.88,M
none,0.59,0.53,0.52,M
none,0.61,0.42,0.41,M
completed,0.78,0.74,0.72,M
none,0.49,0.51,0.51,M
none,0.59,0.58,0.47,M
completed,0.7,0.72,0.76,F
completed,0.82,0.84,0.78,M
none,0.9,0.9,0.82,M
none,0.43,0.62,0.61,F
none,0.8,0.64,0.66,M
none,0.81,0.82,0.84,M
none,0.57,0.61,0.54,M
none,0.59,0.72,0.8,F
none,0.64,0.76,0.74,F
completed,0.63,0.64,0.66,M
completed,0.71,0.7,0.7,F
none,0.64,0.73,0.71,F
none,0.55,0.46,0.44,M
none,0.51,0.51,0.54,F
completed,0.62,0.76,0.8,F
completed,0.93,1,0.95,F
none,0.54,0.72,0.59,M
none,0.69,0.65,0.74,F
none,0.44,0.51,0.48,M
completed,0.86,0.85,0.91,F
none,0.85,0.92,0.85,F
none,0.5,0.67,0.73,F
completed,0.88,0.74,0.75,M
none,0.59,0.62,0.69,F
none,0.32,0.34,0.38,F
none,0.36,0.29,0.27,M
completed,0.63,0.78,0.79,F
completed,0.67,0.54,0.63,M
completed,0.65,0.78,0.82,F
none,0.85,0.84,0.89,M
none,0.73,0.78,0.74,F
completed,0.34,0.48,0.41,F
completed,0.93,1,1,F
none,0.67,0.84,0.84,F
none,0.88,0.77,0.77,M
none,0.57,0.48,0.51,M
completed,0.79,0.84,0.91,F
none,0.67,0.75,0.72,F
completed,0.7,0.64,0.7,M
none,0.5,0.42,0.48,M
none,0.69,0.84,0.82,F
completed,0.52,0.61,0.66,F
completed,0.47,0.62,0.66,F
none,0.46,0.61,0.55,F
none,0.68,0.7,0.66,F
completed,1,1,1,M
none,0.44,0.61,0.52,F
completed,0.57,0.77,0.8,F
completed,0.91,0.96,0.91,M
none,0.69,0.7,0.67,M
none,0.35,0.53,0.46,F
none,0.72,0.66,0.66,M
none,0.54,0.65,0.65,F
none,0.74,0.7,0.69,M
completed,0.74,0.64,0.6,M
none,0.64,0.56,0.52,M
completed,0.65,0.61,0.71,F
completed,0.46,0.43,0.44,M
none,0.48,0.56,0.51,F
completed,0.67,0.74,0.7,M
none,0.62,0.57,0.62,M
completed,0.61,0.71,0.73,M
completed,0.7,0.75,0.74,M
completed,0.98,0.87,0.9,M
none,0.7,0.63,0.58,M
none,0.67,0.57,0.53,M
none,0.57,0.58,0.57,F
completed,0.85,0.81,0.85,M
completed,0.77,0.68,0.69,M
completed,0.72,0.66,0.72,M
none,0.78,0.91,0.96,F
none,0.81,0.66,0.64,M
completed,0.61,0.62,0.61,M
none,0.58,0.68,0.61,F
none,0.54,0.61,0.58,F
none,0.82,0.82,0.8,M
none,0.49,0.58,0.6,F
completed,0.49,0.5,0.52,M
completed,0.57,0.75,0.73,F
none,0.94,0.73,0.71,M
completed,0.75,0.77,0.83,F
none,0.74,0.74,0.72,F
completed,0.58,0.52,0.54,M
none,0.62,0.69,0.69,F
none,0.72,0.57,0.62,M
none,0.84,0.87,0.81,M
none,0.92,1,1,F
none,0.45,0.63,0.59,F
none,0.75,0.81,0.71,M
none,0.56,0.58,0.64,F
none,0.48,0.54,0.53,F
none,1,1,1,F
completed,0.65,0.76,0.75,F
none,0.72,0.57,0.58,M
none,0.62,0.7,0.72,F
completed,0.66,0.68,0.64,M
none,0.63,0.63,0.6,M
none,0.68,0.76,0.67,F
none,0.75,0.84,0.8,F
none,0.89,1,1,F
completed,0.78,0.72,0.69,M
completed,0.53,0.5,0.6,F
none,0.49,0.65,0.61,F
none,0.54,0.63,0.67,F
completed,0.64,0.82,0.77,F
completed,0.6,0.62,0.6,M
none,0.62,0.65,0.58,M
completed,0.55,0.41,0.48,M
none,0.91,0.95,0.94,F
none,0.08,0.24,0.23,F
none,0.81,0.78,0.78,M
completed,0.79,0.85,0.86,M
completed,0.78,0.87,0.91,F
none,0.74,0.75,0.82,F
none,0.57,0.51,0.54,M
none,0.4,0.59,0.51,F
completed,0.81,0.75,0.76,M
none,0.44,0.45,0.45,F
completed,0.67,0.86,0.83,F
completed,0.86,0.81,0.75,M
completed,0.65,0.82,0.78,F
none,0.55,0.76,0.76,F
none,0.62,0.72,0.74,F
none,0.63,0.63,0.62,M
completed,0.88,0.99,0.95,F
none,0.62,0.55,0.55,M
completed,0.59,0.71,0.65,F
completed,0.68,0.78,0.77,F
none,0.77,0.86,0.86,F
